market,product,mushy,servings_sold,city_population,price_per_serving,price_instrument
C01Q1,F1B04,1,576944.77049172,516259,0.072087944,0.035483677
C01Q1,F1B06,1,362849.959798308,516259,0.11417849,0.072579051
C01Q1,F1B07,1,603767.99289141,516259,0.13239066,0.10184248
C01Q1,F1B09,0,268091.500569903,516259,0.13034408,0.10433204
C01Q1,F1B11,0,833279.5528667101,516259,0.15482331,0.1211111
C01Q1,F1B13,0,1236011.9545825198,516259,0.13704921,0.1057266
C01Q1,F1B17,1,1162268.82723546,516259,0.14420936,0.12097338
C01Q1,F1B30,0,235013.731206507,516259,0.12819085,0.097110871
C01Q1,F1B45,0,247731.431456826,516259,0.14961074,0.11900878
C01Q1,F2B05,0,1768755.89949138,516259,0.10851394,0.07205275
C01Q1,F2B08,0,387862.72538485494,516259,0.13228658,0.10977463
C01Q1,F2B15,1,306480.60705767403,516259,0.11208285,0.069228118
C01Q1,F2B16,1,1399355.57941992,516259,0.11526257,0.091322432
C01Q1,F2B19,0,4648457.625698701,516259,0.11087895,0.070753093
C01Q1,F2B26,0,614890.3335759,516259,0.12810806,0.087140195
C01Q1,F2B28,1,1098510.80459733,516259,0.17482731,0.13866838
C01Q1,F2B40,0,402463.253699973,516259,0.13363731,0.099845938
C01Q1,F2B48,0,125426.799310455,516259,0.14741729,0.12234405
C01Q1,F3B06,1,880156.57217895,516259,0.10980325,0.072030579
C01Q1,F3B14,0,503937.3431952,516259,0.13695975,0.097960189
C01Q1,F4B02,0,364732.137376767,516259,0.17512687,0.14873129
C01Q1,F4B10,0,33998.624775019794,516259,0.13566981,0.10270571
C01Q1,F4B12,0,440958.965606208,516259,0.13517243,0.10021431
C01Q1,F6B18,0,2163793.69829133,516259,0.14282341,0.10981747
C01Q2,F1B04,1,299352.18745215,516259,0.077717715,0.044113767
C01Q2,F1B06,1,6564434.939017201,516259,0.14104056,0.10104317
C01Q2,F1B07,1,4083873.1178598,516259,0.07268274,0.016440237
C01Q2,F1B09,0,307654.335316908,516259,0.076974403,0.049831541
C01Q2,F1B11,0,2521789.92416646,516259,0.16700882,0.13277455
C01Q2,F1B13,0,1021199.38796889,516259,0.092333473,0.047112885
C01Q2,F1B17,1,490066.97650407004,516259,0.15393083,0.12749772
C01Q2,F1B30,0,60849.65174868,516259,0.15039494,0.12854165
C01Q2,F1B45,0,489008.82108213,516259,0.14726089,0.10552461
C01Q2,F2B05,0,2744558.2174981497,516259,0.099437,0.062114156
C01Q2,F2B08,0,604093.88654775,516259,0.11975962,0.088995096
C01Q2,F2B15,1,364701.880469295,516259,0.072425151,0.042441267
C01Q2,F2B16,1,832095.1566315,516259,0.13880223,0.10750624
C01Q2,F2B19,0,187060.723853949,516259,0.15012616,0.11265568
C01Q2,F2B26,0,261847.30098533398,516259,0.15313127,0.11441062
C01Q2,F2B28,1,534195.6445665,516259,0.20983296,0.15953154
C01Q2,F2B40,0,61081.043678810995,516259,0.13927765,0.1103644
C01Q2,F2B48,0,26105.4952867242,516259,0.16228486,0.12949794
C01Q2,F3B06,1,329215.731895359,516259,0.14027255,0.10367582
C01Q2,F3B14,0,249833.213223669,516259,0.15381146,0.11842652
C01Q2,F4B02,0,209828.242911366,516259,0.13597643,0.10460128
C01Q2,F4B10,0,313343.089262082,516259,0.1101169,0.085677609
C01Q2,F4B12,0,383932.85862505494,516259,0.10392265,0.067283874
C01Q2,F6B18,0,164019.103791849,516259,0.12713032,0.092074407
C03Q1,F1B04,1,83785.824352872,358548,0.080569674,0.040788658
C03Q1,F1B06,1,2483533.05855372,358548,0.10581852,0.066669887
C03Q1,F1B07,1,852712.84414296,358548,0.11992618,0.087992725
C03Q1,F1B09,0,51733.037943936,358548,0.10178514,0.063569156
C03Q1,F1B11,0,127514.01538112399,358548,0.20151993,0.15967379
C03Q1,F1B13,0,400340.2831704,358548,0.14597242,0.11053864
C03Q1,F1B17,1,147909.939122016,358548,0.13725153,0.10065205
C03Q1,F1B30,0,199147.985058744,358548,0.12448752,0.081056824
C03Q1,F1B45,0,935396.1678164401,358548,0.10138927,0.065320377
C03Q1,F2B05,0,785442.12216516,358548,0.10555494,0.07172956
C03Q1,F2B08,0,1039473.63114876,358548,0.12446037,0.085953624
C03Q1,F2B15,1,115944.40895435998,358548,0.10935875,0.069120509
C03Q1,F2B16,1,1380819.01441788,358548,0.12619276,0.082164235
C03Q1,F2B19,0,162536.42145931203,358548,0.11909179,0.081743515
C03Q1,F2B26,0,731455.38845856,358548,0.11073154,0.068023208
C03Q1,F2B28,1,1743655.8616149598,358548,0.14010658,0.10167456
C03Q1,F2B40,0,36918.583590707996,358548,0.12712556,0.091334267
C03Q1,F2B48,0,71104.91417622,358548,0.14183291,0.1053928
C03Q1,F3B06,1,104649.472525572,358548,0.1455539,0.11162394
C03Q1,F3B14,0,515938.89409164,358548,0.18011969,0.1420346
C03Q1,F4B02,0,263463.23101024795,358548,0.1413346,0.097922083
C03Q1,F4B10,0,207710.503908804,358548,0.10202795,0.067180129
C03Q1,F4B12,0,876073.73431716,358548,0.082049328,0.05300236
C03Q1,F6B18,0,68681.894837652,358548,0.1469524,0.11308009
C03Q2,F1B04,1,190049.42762643602,358548,0.068113884,0.041827165
C03Q2,F1B06,1,709963.1500669201,358548,0.13213964,0.09924428
C03Q2,F1B07,1,93806.677673964,358548,0.10472959,0.069857133
C03Q2,F1B09,0,35196.295762872,358548,0.12849158,0.097472142
C03Q2,F1B11,0,550182.9028597199,358548,0.14180203,0.10756968
C03Q2,F1B13,0,784103.5262329199,358548,0.14257157,0.11195173
C03Q2,F1B17,1,215643.364425432,358548,0.13947744,0.11386993
C03Q2,F1B30,0,217550.1553173,358548,0.13944844,0.10616984
C03Q2,F1B45,0,273874.10746752,358548,0.14437124,0.11418996
C03Q2,F2B05,0,827921.842245,358548,0.10489882,0.056833859
C03Q2,F2B08,0,317141.582960268,358548,0.11527638,0.086060052
C03Q2,F2B15,1,79173.231617412,358548,0.11971587,0.081492743
C03Q2,F2B16,1,385090.67381004,358548,0.10842332,0.073990465
C03Q2,F2B19,0,346272.97297176,358548,0.11033557,0.071491276
C03Q2,F2B26,0,501032.92071996,358548,0.11056007,0.083176657
C03Q2,F2B28,1,1696225.70515392,358548,0.16122896,0.12789489
C03Q2,F2B40,0,96142.405275,358548,0.09252834,0.054796645
C03Q2,F2B48,0,153041.567735016,358548,0.076439546,0.038512214
C03Q2,F3B06,1,1204148.61789084,358548,0.10424625,0.060223809
C03Q2,F3B14,0,939289.0740426,358548,0.16530293,0.12972652
C03Q2,F4B02,0,363792.82580208,358548,0.17015536,0.13652664
C03Q2,F4B10,0,227842.451704368,358548,0.077777105,0.037325463
C03Q2,F4B12,0,484792.03011852,358548,0.10014103,0.058183748
C03Q2,F6B18,0,226313.56036515598,358548,0.14075293,0.10650521
C04Q1,F1B04,1,230443.16776343097,1585577,0.079872872,0.041779687
C04Q1,F1B06,1,1953751.5310924798,1585577,0.13603003,0.095788249
C04Q1,F1B07,1,1151438.18464962,1585577,0.11667133,0.094714461
C04Q1,F1B09,0,3312791.91269838,1585577,0.097505872,0.066258159
C04Q1,F1B11,0,15023724.833287802,1585577,0.14330366,0.099833438
C04Q1,F1B13,0,14853033.3467376,1585577,0.1038031,0.060425044
C04Q1,F1B17,1,3963189.77903079,1585577,0.12257928,0.081234937
C04Q1,F1B30,0,705275.1778312799,1585577,0.11775147,0.09206813
C04Q1,F1B45,0,3160721.60099388,1585577,0.1014659,0.0661288
C04Q1,F2B05,0,1230232.382427069,1585577,0.12302415,0.088986087
C04Q1,F2B08,0,2707563.7736727297,1585577,0.11396909,0.079712614
C04Q1,F2B15,1,590049.805213323,1585577,0.10343433,0.067829649
C04Q1,F2B16,1,3289167.18008109,1585577,0.13460786,0.10248907
C04Q1,F2B19,0,1033192.9823293891,1585577,0.13521846,0.10341924
C04Q1,F2B26,0,6610439.725777441,1585577,0.12119156,0.08748099
C04Q1,F2B28,1,768848.8305655081,1585577,0.17149303,0.1330264
C04Q1,F2B40,0,1464125.65475211,1585577,0.11676892,0.076931969
C04Q1,F2B48,0,1513129.06940832,1585577,0.12875397,0.090618983
C04Q1,F3B06,1,1870000.19648127,1585577,0.13950752,0.097022874
C04Q1,F3B14,0,20930530.1680251,1585577,0.095878635,0.044885056
C04Q1,F4B02,0,2026783.95293367,1585577,0.14748958,0.10714302
C04Q1,F4B10,0,2524353.47490942,1585577,0.091444638,0.052697582
C04Q1,F4B12,0,3530023.3504872,1585577,0.10208255,0.060065885
C04Q1,F6B18,0,965527.8654793589,1585577,0.15350795,0.12178156
C04Q2,F1B04,1,2991733.2619782295,1585577,0.1092227,0.075933297
C04Q2,F1B06,1,7510340.78596431,1585577,0.09774908,0.05938057
C04Q2,F1B07,1,4002938.2600168497,1585577,0.13210105,0.10278305
C04Q2,F1B09,0,5439394.01054196,1585577,0.072907533,0.042588028
C04Q2,F1B11,0,1376362.5978635822,1585577,0.20438087,0.15984234
C04Q2,F1B13,0,1364934.627743778,1585577,0.1623844,0.13879859
C04Q2,F1B17,1,10465265.512118341,1585577,0.10773528,0.076000605
C04Q2,F1B30,0,69989.288913747,1585577,0.17556888,0.14097838
C04Q2,F1B45,0,409834.02082990506,1585577,0.14451783,0.11123792
C04Q2,F2B05,0,5534471.454635341,1585577,0.10427788,0.069927178
C04Q2,F2B08,0,3268411.8978722403,1585577,0.1316358,0.10325067
C04Q2,F2B15,1,403321.732633197,1585577,0.098647486,0.060080147
C04Q2,F2B16,1,1354195.337138154,1585577,0.15099882,0.11462044
C04Q2,F2B19,0,9646076.66353947,1585577,0.094557442,0.047871545
C04Q2,F2B26,0,713596.369962861,1585577,0.14302735,0.1209005
C04Q2,F2B28,1,2896229.13911415,1585577,0.22003003,0.18804273
C04Q2,F2B40,0,1242438.791575023,1585577,0.1449842,0.10629807
C04Q2,F2B48,0,620346.167002359,1585577,0.12649963,0.098186282
C04Q2,F3B06,1,5383132.49032209,1585577,0.11000462,0.072149169
