market_ids,firm_ids,shares,prices,quality,cost_shifter,demand_shock,cost_shock,satellite,wired
0,0,0.5572768462464036,2.0470595534925784,1.764052345967664,0.15217697558826634,0.3364882217194817,-0.9899032843068277,1.0,0.0
0,1,0.031869080027925815,2.326533137312925,0.4001572083672233,0.37412632026430587,-0.6020953588351681,-0.0016604065209382506,1.0,0.0
0,2,0.3236250672509786,1.6467121952306145,0.9787379841057392,0.01345146935738968,-0.4296150118786873,-0.8674192563000632,0.0,1.0
0,3,0.0025394845365445213,4.505815001425151,2.240893199201458,0.81547196924006,-0.8211891383949081,0.6834122583775388,0.0,1.0
1,0,0.0852790114319995,3.666161875854307,1.8675579901499675,0.41060179132004765,0.5767930439465352,0.529954363050726,1.0,0.0
1,1,0.3398508993520397,1.3552895301070735,0.977277879876411,0.4809698500346235,-1.7720929154887528,-1.3997133200050964,1.0,0.0
1,2,0.2642635194490155,1.886132264091238,0.9500884175255894,0.6354304386192672,-0.9297280392316961,-0.5617186942519085,0.0,1.0
1,3,0.11295073549814853,1.8302002275936304,0.1513572082976979,0.852829768274368,-1.0928559334190608,-0.49924623648570876,0.0,1.0
2,0,0.17765145008889666,2.707289161927841,0.10321885179355784,0.6695623405090825,0.3206101281889744,0.02632306260249799,1.0,0.0
2,1,0.005772973195924198,4.302877093759665,0.41059850193837233,1.0044191922616246,-0.22222991028119507,0.58339303516468,1.0,0.0
2,2,0.1491315899034132,2.529610504165842,0.144043571160878,0.7263658321861022,-0.009017768542822093,-0.029517901352234876,0.0,1.0
2,3,0.30886236756729807,2.7093544263554694,1.454273506962975,0.17245859668145705,-0.2316931646059122,0.10449817426953475,0.0,1.0
3,0,0.4798507536409427,1.3303123690177674,0.7610377251469934,0.6335339024604004,-0.668443891867161,-1.8032676246930008,1.0,0.0
3,1,0.27250176106855933,1.3319280352111316,0.12167501649282841,0.6088151174171313,-0.5916798997454427,-1.1136910417169203,1.0,0.0
3,2,0.10608441802602696,2.7320796427961063,0.44386323274542566,0.22612246976395625,0.35569201376582765,0.17407144758040669,0.0,1.0
3,3,0.0006468346701365285,5.778916213405593,0.33367432737426683,1.9258057374595274,1.4596543365727044,0.6821320025275543,0.0,1.0
4,0,0.13145593297503141,2.6865778177845985,1.4940790731576061,1.9517610122678137,0.4728623017114893,-0.2580297007527636,1.0,0.0
4,1,0.24209412737707384,1.239984807836718,0.20515826376580087,1.2399405498273601,-0.5207479871557134,-1.5301181278965765,1.0,0.0
4,2,0.10397212782588233,2.214250964548092,0.31306770165090136,0.9385851362497685,0.5021179780095425,-0.23766844577851615,0.0,1.0
4,3,0.44873375881096145,1.4191030790017425,0.8540957393017248,1.0192511495051297,-0.16689894519944729,-1.8115679499772712,0.0,1.0
5,0,0.042588247761814475,3.3434423544585137,2.5529898158340787,0.5125622314261221,-1.0612146164993694,0.40464546402043255,1.0,0.0
5,1,0.24054296933924504,1.4480996149851122,0.6536185954403606,0.35911659506588506,-1.2212084758536286,-1.0045667095677462,1.0,0.0
5,2,0.4558882674983199,1.3528053380759997,0.8644361988595055,1.0585718976053677,-0.7835815725656313,-1.9491511244006863,0.0,1.0
5,3,0.13541698994815174,2.673505765388422,0.7421650204064417,0.50900583859132,0.7662015407203943,0.10591777780668689,0.0,1.0
6,0,0.6819624221092936,2.3621340267644673,2.2697546239876076,0.11566507404634657,1.0911227881196628,-1.4979045244917812,1.0,0.0
6,1,0.020476665465794908,2.4097821256857377,1.4543656745987648,0.5473555742986664,-1.5038806535660274,0.0041184186901213286,1.0,0.0
6,2,2.9581235193059093e-05,5.634699867246166,0.04575851730144607,0.5507994257068402,-0.5426536651646623,0.9983165806193215,0.0,1.0
6,3,0.2388486459133984,1.550825299019258,0.1871838500258336,0.7920414984229742,0.14461700114605372,-1.0518052054014952,0.0,1.0
7,0,0.2432539413057592,2.950620349362908,1.5327792143584575,0.1441064851232316,0.8569581064609512,0.23565550654927933,1.0,0.0
7,1,0.04355645163431105,2.9325091977183457,1.469358769900285,0.23345807966231763,-0.8358918405213249,0.31608758632947365,1.0,0.0
7,2,0.32554741209964017,1.4810325780166986,0.1549474256969163,0.11187239689629833,-0.15142852211729313,-0.9111078615305476,0.0,1.0
7,3,0.25485488841868503,1.933908103985075,0.37816251960217356,0.6757031433716508,0.2862936437352808,-0.46472458090237023,0.0,1.0
8,0,0.3511480605956703,1.3234574069043914,0.8877857476301128,1.3705719179606883,-1.0154755155238597,-1.486314101886898,1.0,0.0
8,1,0.3915126248923069,2.436704168966929,1.980796468223927,0.31056471042047845,0.2268170908266707,-0.12028786438653918,1.0,0.0
