market_id,product_id,firm_id,observed_share,equilibrium_price,quality_x,cost_shifter_w,xi_demand_unobs,omega_cost_unobs,satellite_dummy,wired_dummy,marginal_cost
1,1,1,0.266719039749744,2.13262021388714,0.53824389372927,0.283365393496215,0.417759614446037,-0.645241748809403,1,0,1.63262007087964
1,2,2,0.370871779625909,2.32508419049194,0.867232157629573,0.271697767650848,0.803359880371824,0.269612696234858,1,0,1.8250840284158
1,3,3,0.0165270873928287,3.78634303067496,0.975986463472539,2.82202875968975,0.327572838901443,-0.125854028384159,0,1,3.28634313138521
1,4,4,0.200066072801689,2.28539285702105,0.337390252379212,0.0998097322543057,0.45791568365838,0.437489057290512,0,1,1.78539301099712
2,1,1,0.176059098214724,2.01853091806329,0.996094096614954,0.558399179986677,-1.09726753865642,-1.77484117667669,1,0,1.51853286435281
2,2,2,0.138234019879426,2.07866850289657,0.523214031686441,0.022632140172926,-0.745983982901181,-0.392602543041339,1,0,1.57866999489334
2,3,3,0.50657230414645,2.04643996074338,1.29744747716739,0.415217780563579,-0.0723776137838598,-1.34280521017259,0,1,1.54643733821279
2,4,4,0.00250278870206238,3.89364076168394,0.917388589145936,1.97354899697929,-1.30817859887946,1.828128566237,0,1,3.39364077501467
3,1,1,0.0484096650989544,2.6431001533953,0.176601628617548,0.905244616727775,0.353880159026587,0.287538367726599,1,0,2.14310015256574
3,2,2,0.284444716878521,2.50514973685159,0.755179935677488,0.305774758507758,1.27024045087828,0.954200395017933,1,0,2.00514973547345
3,3,3,0.0844418943464858,2.17511528606256,0.59149995977194,0.296170182135015,-0.290105340419834,-0.465284442134734,0,1,1.67511528582528
3,4,4,0.484399663927149,1.89549069337814,1.8443896370005,0.35587205789515,-0.355397542090274,-2.04577527820655,0,1,1.39549069302809
4,1,1,0.571445926604849,2.96275526405911,1.81692224917996,1.18824378246485,1.62598449664064,0.83374442300195,1,0,2.46275095243871
4,2,2,0.0815792849775766,2.15257854301783,0.123833350279246,0.185107510142589,-0.247874539512119,-0.351524304698941,1,0,1.65257774650815
4,3,3,0.0315518828050111,3.38627317247561,1.11060135506064,2.14087580277859,-0.0214378618735869,0.197979781171945,0,1,2.88627407620092
4,4,4,0.163473864540001,1.97547049221881,0.680905880267246,0.0947117328740254,-0.7683278840112,-1.07758477440488,0,1,1.47547480017584
5,1,1,0.260933579588055,2.56253018600261,0.0141693263976365,0.219358360470123,1.33644140563915,1.35274981076765,1,0,2.06252985951702
5,2,2,0.120262119570713,2.38636190853439,0.0595506104590645,0.459800716223363,0.164131366400267,0.157598305106296,1,0,1.88636173739211
5,3,3,0.174890540147423,2.74918181704492,0.661011014460339,1.5801545234571,0.745175884559013,-0.675776964337681,0,1,2.24918181053709
5,4,4,0.249208139683233,2.39964561950056,0.305950915068987,1.40619890861226,0.755291745142491,-1.67905900557619,0,1,1.89964561709231
6,1,1,0.100612474329743,2.24239693670573,0.409057845790514,0.571707237767393,-0.623522387125535,-0.701320104519613,1,0,1.74239707831187
6,2,2,0.338730453060564,2.24136119971003,1.28185482288483,0.0980217011159477,-0.284462420104465,0.241293829964832,1,0,1.74136128320891
6,3,3,0.370552978886334,2.58037796847596,0.284902829463086,0.392100511186552,1.57483948688115,1.07619493581454,0,1,2.08037776450546
6,4,4,0.0210435591187856,2.66307546471913,0.0647868558912201,1.48953014797085,-0.908051441318103,-0.806812196118455,0,1,2.1630754154063
7,1,1,0.411214229611309,2.30252976984803,1.00038318883897,0.943936379132942,1.25480154514022,-1.17434413916655,1,0,1.80252971844182
