market_ids,firm_ids,product_ids,shares,prices,quality,cost_shifter,demand_shock,cost_shock,satellite,wired
0,0,0,0.18712377402655392,0.7267345572050578,0.409918041247717,0.5646904031604869,-0.37156517878762013,-0.5651517757591575,0.03309033290941643,0.6169349704188017
0,1,1,0.0737248094428896,2.4155745876505774,0.9625122942927633,0.8397460495181505,1.2577073523157087,1.1288370365865175,0.9695520887636515,0.20290776383196452
0,2,2,0.02262212845614101,1.5197726350563168,0.5528223556900267,0.37688365480133446,-1.1898666353937808,0.40775106488508306,0.8031859794404212,0.28880894655049794
0,3,3,0.02806946763636654,1.8827468385186545,0.4317116640505323,0.49967599625985926,0.09374513349469882,0.7421007543403908,0.07500483980227612,0.44506003743382583
1,0,4,0.6175520963655355,0.8147469631938986,0.9505988532342335,0.08130241162434704,1.3467407145202963,-1.2426432665658613,0.8001678784089122,0.5472265773689182
1,1,5,0.007429401051617508,2.51690282781196,0.09161385081875306,0.3241552033329199,1.1989126108773454,1.431844805735782,0.6626329103436677,0.1753736368261336
1,2,6,0.0019662566285822388,2.1679903139052756,0.2717819914832693,0.9156513062006972,-1.0521361330247616,0.9379354036994161,0.9057379413575811,0.5955219571058655
1,3,7,0.006476842132134534,1.8998627692241332,0.34639443568268435,0.8534523716298063,-0.4304630983657446,0.6829565993125902,0.4577972816726522,0.6072443852451421
2,0,8,0.1858792944346643,1.1683303004668362,0.8535026178683808,0.594156501367661,0.0540542596546715,-0.12636515543406585,0.5033384629781011,0.4085352753968343
2,1,9,0.006327023714839741,2.9842107460399867,0.7664119839578025,0.9053655477983551,0.24725541217308367,1.7528976369915268,0.8373133120106975,0.20072014024813267
2,2,10,0.0044084442997703345,3.361485333615196,0.30471417482051466,0.42692771520585715,1.2678791187783547,2.2521842576681426,0.4837877945192871,0.3339272763631298
2,3,11,0.0747318033380575,2.288135215179603,0.8725633575295845,0.9376107172016239,1.377179254292613,1.0070350115433213,0.5263679013803221,0.0980365916611744
3,0,12,0.046527712645443066,1.6888695385954622,0.06255666512954305,0.9458708006923029,0.4238248096818866,0.4203774198441222,0.24435887899595188,0.7448377539035795
3,1,13,0.03886365627454166,1.0311747430216909,0.4934669400921148,0.5699678314641291,-1.3843605345224987,-0.13418906972017378,0.3304225120641303,0.01461730000575412
3,2,14,0.02513956986688286,2.6224898746334877,0.654684237674076,0.050203186325068705,1.2131088517718231,1.595930579400008,0.2876483753828909,0.3317908347898485
3,3,15,0.18220826225674092,1.3807618787711688,0.3121943143752183,0.8846619378615642,0.8418941911853564,-0.019739557782495903,0.045663217866664274,0.9243405121611575
4,0,16,0.09488482897980852,1.9265225713093006,0.06917107239102072,0.9113883286594711,1.827548132737725,0.638089125714814,0.5830337897602356,0.18751931673001931
