market,product,x,w,xi,omega,mc,price,share,satellite,wired
0,1,1.2406333560617109,0.9193396293890663,-0.6293901783327279,0.6761805588247819,2.257724566705987,3.470859067067393,0.05181936611983972,1,0
0,2,1.470578885417309,2.0683998709985936,1.0053766176624215,-1.6200657899656825,2.2582535385814353,3.471388038942842,0.33409264151198725,1,0
0,3,2.101190541905837,0.008831299221537027,-2.5952589324391457,0.9542271095517246,1.8616928598424507,2.9932551765339084,0.054865590020166326,0,1
0,4,1.4648216014791973,2.1143610164032576,-0.4034995958836505,-1.056475223019325,2.4510851655859667,3.5826474822774257,0.07995725353552902,0,1
1,1,0.8179220783892771,1.1064360238003494,0.846327578741302,0.6459669539193658,2.35691809858628,3.589657119163441,0.13196878024252326,1,0
1,2,1.0567463748812687,0.2651741794698943,-1.7920719554944553,1.1716475509774429,2.0395913899299694,3.2723304105071307,0.02259307765408187,1,0
1,3,1.5348971357684786,0.749890482829548,0.0822768545348702,-1.506334573948191,1.6473711895962915,2.954948997188715,0.3565439103053859,0,1
1,4,0.6142437397882111,0.5759438284159238,-0.624242988676134,-0.2445887661712646,1.8467223431052489,3.154300150697674,0.047020414413087935,0,1
2,1,0.3333021896359276,0.16647167120307715,-0.21635843309047129,-0.39369611146806666,1.6362481438804308,2.795906271068238,0.13687283213164844,1,0
2,2,1.2156430327764864,0.020387454273778752,-0.963184423149501,0.3639558732939016,1.734278276217565,2.8939364034053723,0.1288316934481868,1,0
2,3,0.658336444318561,0.4392931615088421,0.29924240158149656,0.41213732451049934,1.9373875772971059,3.0891666638967767,0.17717308002734114,0,1
2,4,0.49908496845096073,1.810905625034556,0.9160024971844263,0.12160059797501259,2.6324802983898157,3.784259384989485,0.0697174249356379,0,1
3,1,0.5891089362106927,1.9469998081257633,-0.4911835234358184,1.1321367410038163,3.090296511304503,4.358171676355809,0.0062231634530488375,1,0
3,2,0.9675047385569241,1.4083557208493676,-0.6484897899367508,-0.6474318369030866,2.162272929474604,3.430148094525913,0.049670692483340065,1,0
3,3,1.4626147615272214,0.41886022962757224,0.8593019527390585,-0.8692969630855429,1.6422264900962387,3.0769792702606678,0.4750634882507686,0,1
3,4,0.7217510341302072,0.6573358639403348,0.970542048293819,1.6220252750566837,2.3799681978998857,3.8147209780643134,0.057878234997465736,0,1
4,1,0.49680473174508516,1.2758984684725139,2.467816685080645,1.3390500371199405,2.6814451164704525,4.025593595237936,0.18006676659281007,1,0
4,2,0.32065065651274266,1.1252904801985397,-0.9406545030256632,0.7762383372544018,2.4069308079415617,3.751079286709046,0.00865148568207802,1,0
4,3,1.5476130022359755,0.03335247202544196,0.6854630117535304,0.6297328108284826,1.7986829800762731,3.2047967672740474,0.3686285351667553,0,1
4,4,0.8943006253742453,0.5259607771982096,-0.8004601041775387,0.11719937949548785,1.9081613162184705,3.314275103416246,0.034868968960549536,0,1
5,1,0.8446487172630398,0.9341245590629151,-0.24856611886348695,-1.9755785782272075,1.6267494438051138,2.949454077430648,0.14465987237456762,1,0
