market_id,product_id,x_quality,w_cost,market_x_other,market_w_other,x_squared,w_squared,x_satellite,w_satellite,x_wired,w_wired,satellite,wired
1,1,0.53824389372927,0.283365393496215,2.18060887348132,3.1935362595949,0.289706489136845,0.0802959462312647,0.53824389372927,0.283365393496215,0,0,1,0
1,2,0.867232157629573,0.271697767650848,1.85162060958102,3.20520388544027,0.752091615226845,0.0738196769464541,0.867232157629573,0.271697767650848,0,0,1,0
1,3,0.975986463472539,2.82202875968975,1.74286630373805,0.654872893401368,0.952549576881635,7.96384632051605,0,0,0.975986463472539,2.82202875968975,0,1
1,4,0.337390252379212,0.0998097322543057,2.38146251483138,3.37709192083681,0.113832182400508,0.00996198265267619,0,0,0.337390252379212,0.0998097322543057,0,1
2,1,0.996094096614954,0.558399179986677,2.73805009799977,2.4113989177158,0.992203449311161,0.311809644209793,0.996094096614954,0.558399179986677,0,0,1,0
2,2,0.523214031686441,0.022632140172926,3.21093016292828,2.94716595752955,0.27375292295358,0.000512213768806972,0.523214031686441,0.022632140172926,0,0,1,0
2,3,1.29744747716739,0.415217780563579,2.43669671744733,2.55458031713889,1.68336995600803,0.172405805296145,0,0,1.29744747716739,0.415217780563579,0,1
2,4,0.917388589145936,1.97354899697929,2.81675560546879,0.996249100723182,0.84160182349517,3.89489564347796,0,0,0.917388589145936,1.97354899697929,0,1
3,1,0.176601628617548,0.905244616727775,3.19106953244993,0.957816998537923,0.0311881352303703,0.819467816114616,0.176601628617548,0.905244616727775,0,0,1,0
3,2,0.755179935677488,0.305774758507758,2.61249122538999,1.55728685675794,0.570296735249855,0.0934982029404776,0.755179935677488,0.305774758507758,0,0,1,0
3,3,0.59149995977194,0.296170182135015,2.77617120129554,1.56689143313068,0.349872202410207,0.0877167767858879,0,0,0.59149995977194,0.296170182135015,0,1
3,4,1.8443896370005,0.35587205789515,1.52328152406698,1.50718955737055,3.40177313307485,0.126644921590529,0,0,1.8443896370005,0.35587205789515,0,1
4,1,1.81692224917996,1.18824378246485,1.91534058560713,2.4206950457952,3.30120645956515,1.41192328656637,1.81692224917996,1.18824378246485,0,0,1,0
