market_ids,weights,nodes0,nodes1,nodes2,nodes3,nodes4,nodes5,fv,income,low,mid,high,fs,age
1981,0.001,2.533313522720472,7.496741889746936,2.649342799446217,3.892549208029043,0.8337610134146395,1.9283440340766989,0.7497851339149775,10.3465765004227,1,0,0,4,1
1981,0.001,4.422581645398931,0.8585389081037751,1.6464470725730393,2.9733519421103125,0.033287928045881016,1.683241599332622,5.23233614951258,13.9442096365173,0,1,0,2,1
1981,0.001,1.3415093553563713,5.041917622807291,4.118931916324462,2.1663376616944126,1.3145815977840642,0.36008739905965376,1.8602122805750931,5.89878831076265,1,0,0,4,0
1981,0.001,3.3241128825354,2.35489210593701,0.8023506478243183,0.2610428357734004,3.9119699594198467,1.027855668983636,6.980908955321334,8.125445473984321,1,0,0,2,0
1981,0.001,1.895857224283768,1.8079899365540422,1.8277972419496764,4.080565357118704,1.7097677571520928,0.7075138564672684,2.450662619177734,34.3972950126796,0,0,1,2,1
1981,0.001,3.1061236043432947,1.1652681086441203,4.538239050220292,1.6833131423422794,2.1400383414445177,6.201577919117969,1.5940307696253275,35.5161290322581,0,0,1,4,1
1981,0.001,0.6900120817484622,6.376093527230942,0.9683705597775035,3.2480717371023884,6.508959253235503,4.0506116654810755,1.0945449389207644,26.0422654268808,0,1,0,4,0
1981,0.001,5.729276039869419,2.7727067828322,2.4255040659851805,2.3777340853466824,0.9366207894433088,2.436806819858608,3.1667282308711946,0.8802816901408449,1,0,0,4,1
1981,0.001,4.1030383287125005,4.573924972068055,1.4713225593275785,1.0733662213645154,3.085924920823284,2.8837583373595086,3.6017531674044534,3.0278951817413398,1,0,0,1,0
1981,0.001,1.210234753252792,2.1637501551884264,3.757193106843686,7.08551657873836,0.4765114997456139,2.0419633229784377,2.7881767100814447,0.169061707523246,1,0,0,1,0
1981,0.001,2.3630460482010207,3.529926194076727,2.2154852337034594,1.8699448443957944,4.68045582056151,1.6934537974982216,4.1182090494413,20.146108663729798,0,1,0,2,0
1981,0.001,2.712834226748695,1.6405318138197185,5.668428146981153,3.5516924962176244,6.121663172929127,0.3714131276361359,0.6017214383116781,26.431718061674,0,1,0,4,1
1981,0.001,0.4105689049212326,1.4783682279285095,1.3009617697502438,2.60292751408835,3.767773347723597,1.0372635222715487,0.8510786530644304,23.9112903225806,0,1,0,3,0
1981,0.001,1.4750067469053338,3.255117084347142,0.4538600837713422,1.2430830414741483,2.532338495595221,3.424418941958647,5.625320070078757,21.3827512473272,0,1,0,1,1
1981,0.001,0.9512292369692545,5.6185705299601985,5.039816323056351,5.007315352863056,1.2451276801488536,6.253019337317248,6.774902812402819,1.3744493392070498,1,0,0,4,1
1981,0.001,7.295563125511471,2.557159231189869,1.1338697902446124,1.9663244573546566,0.8681285798595646,4.072179779117164,1.311146260477789,9.20198928844683,1,0,0,1,0
1981,0.001,2.0453355618895426,0.5423474900715044,3.1511369073966753,3.7168157931031205,2.67389539122691,2.4491878992811364,2.1093802097725347,20.7911617961511,0,1,0,1,0
1981,0.001,2.721500820039267,4.178459048375636,0.25133759962953933,2.7216040788077804,0.11376188214901865,1.3584045885952447,2.413136857300892,61.6776798825257,0,0,1,5,1
